repositories_names,repositories_languages
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
coremltools,Python
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dnikit,Python
example-package-dealer,Swift
example-package-deckofplayingcards,Swift
example-package-figlet,Swift
example-package-fisheryates,Swift
example-package-playingcard,Swift
FHIRModels,Swift
foundationdb,C++
fstools,C
game-center-tools,Python
GCGC,Jupyter Notebook
homebrew-apple,Ruby
HomeKitADK,C
indexstore-db,C++
learning-compressible-subspaces,Python
learning-subspaces,Python
llvm-monorepo-root,
llvm-project,
llvm-project-v5,C++
llvm-project-v5-split,C++
MaterialX,
ml-4m,Python
ml-afv,Python
ml-aim,Python
ml-all-pairs,Python
ml-ane-transformers,Python
ml-aspanformer,Python
ml-autofocusformer,Python
ml-autofocusformer-segmentation,Python
ml-batchquant,Python
ml-behavioral-testing-for-mt,
ml-calibration,Jupyter Notebook
ml-capsules-inverted-attention-routing,Python
ml-cifar-10-faster,Python
ml-code-switched-speech-translation,Python
ml-codeswitching-translations,
ml-collegial-ensembles,Python
ml-core,Python
ml-covid-mobility,R
ml-cread,Python
ml-cvnets,Python
ml-cvpr2019-swd,Python
ml-dab,Python
ml-data-parameters,Python
ml-delphi,
ml-destseg,Python
ml-dms-dataset,Python
ml-dprecs,Jupyter Notebook
ml-dr,Python
ml-duet,Python
ml-entity-deduction-arena,Python
ml-entropy-reconstruction,Python
ml-envmapnet,Python
ml-equivariant-neural-rendering,Jupyter Notebook
ml-facelit,Python
ml-fastvit,Python
ml-fct,Python
ml-ferret,Python
ml-finerecon,Python
