repositories_names,repositories_languages
.github,
akd,Rust
Ax,Python
between-meals,Ruby
bookworm,Ruby
bpfilter,C
buck,Java
buck2,Rust
buck2-prelude,Starlark
CacheLib,C++
chef-cookbooks,Ruby
chef-utils,Ruby
chisel,Python
componentkit,Objective-C++
Conversion-Leads-Salesforce-APEX,
create-react-app,JavaScript
dns,Go
docusaurus,TypeScript
dotslash,Rust
dotslash-publish-release,Python
duckling,Haskell
errpy,Rust
facebook-android-sdk,Kotlin
facebook-business-sdk-codegen,PHP
facebook-ios-sdk,Swift
facebook-java-business-sdk,Java
facebook-nodejs-business-sdk,JavaScript
facebook-php-business-sdk,PHP
facebook-python-business-sdk,Python
facebook-ruby-business-sdk,Ruby
facebook-sdk-for-unity,C#
facebook360_dep,HTML
FAI-PEP,Python
fatal,C++
fb303,C++
fbjs,JavaScript
fboss,C++
FBRetainCycleDetector,Objective-C++
fbt,JavaScript
fbthrift,C++
fishhook,C
flipper,TypeScript
flow,OCaml
folly,C++
fresco,Java
gfxreconstruct,
glTF,HTML
glTF-Sample-Assets,PHP
glXF,
grocery-delivery,Ruby
Haxl,Haskell
hermes,C++
hhvm,C++
homebrew-fb,Ruby
hyperion,TypeScript
idb,Objective-C
idx,JavaScript
igl,C++
infer,OCaml
install-dotslash,
IT-CPE,Ruby
jscodeshift,JavaScript
jsx,HTML
ktfmt,Kotlin
kuduraft,C++
lexical,TypeScript
lexical-ios,Swift
litho,Java
lr-with-bins,Jupyter Notebook
mariana-trench,C++
mcrouter,C++
memlab,TypeScript
metro,JavaScript
mvfst,C++
mysql-5.6,C++
mysql-8.0,C++
netconsd,C
ocaml-scripts,Python
ocamlrep,Rust
opaque-ke,Rust
OpenBIC,C
openbmc,C
openbmc-linux,C
openbmc-uboot,C
openr,C++
OSM-HOT-Tasking-Manager,JavaScript
PathPicker,Python
prop-types,JavaScript
prophet,Python
proxygen,C++
pyre-action,
pyre-check,OCaml
pyre2,C++
Pysa,
pysa-action,
Rapid,JavaScript
react,JavaScript
react-devtools,
react-native,C++
react-native-cdp-status,TypeScript
react-native-deprecated-modules,JavaScript
react-native-website,JavaScript
react-router-3,
react-strict-dom,JavaScript
redex,C++
regenerator,JavaScript
relay,Rust
ristretto255-js,JavaScript
rocksdb,C++
sapling,Rust
sapp,Python
screenshot-tests-for-android,Java
SoLoader,Java
SPARTA,C++
SPIRV-Headers,
SPIRV-Registry,
squangle,C++
starlark-rust,Rust
stylex,JavaScript
tac_plus,C
